"municipalityCode","prefecture","municipalityName","municipalityDisplayName"
"11240","埼玉県","幸手市","埼玉県幸手市"
"11241","埼玉県","鶴ヶ島市","埼玉県鶴ヶ島市"
"11242","埼玉県","日高市","埼玉県日高市"
"11243","埼玉県","吉川市","埼玉県吉川市"
"11245","埼玉県","ふじみ野市","埼玉県ふじみ野市"
"11246","埼玉県","白岡市","埼玉県白岡市"
"12100","千葉県","千葉市","千葉県千葉市"
"12202","千葉県","銚子市","千葉県銚子市"
"12203","千葉県","市川市","千葉県市川市"
"12204","千葉県","船橋市","千葉県船橋市"
"12205","千葉県","館山市","千葉県館山市"
"12206","千葉県","木更津市","千葉県木更津市"
"12207","千葉県","松戸市","千葉県松戸市"
"12208","千葉県","野田市","千葉県野田市"
"12210","千葉県","茂原市","千葉県茂原市"
"12211","千葉県","成田市","千葉県成田市"
"12212","千葉県","佐倉市","千葉県佐倉市"
"12213","千葉県","東金市","千葉県東金市"
"12215","千葉県","旭市","千葉県旭市"
"12216","千葉県","習志野市","千葉県習志野市"
"12217","千葉県","柏市","千葉県柏市"
"12218","千葉県","勝浦市","千葉県勝浦市"
"12219","千葉県","市原市","千葉県市原市"
"12220","千葉県","流山市","千葉県流山市"
"12221","千葉県","八千代市","千葉県八千代市"
"12222","千葉県","我孫子市","千葉県我孫子市"
"12223","千葉県","鴨川市","千葉県鴨川市"
"12224","千葉県","鎌ケ谷市","千葉県鎌ケ谷市"
"12225","千葉県","君津市","千葉県君津市"
"12226","千葉県","富津市","千葉県富津市"
"12227","千葉県","浦安市","千葉県浦安市"
"12228","千葉県","四街道市","千葉県四街道市"
"12229","千葉県","袖ケ浦市","千葉県袖ケ浦市"
"12230","千葉県","八街市","千葉県八街市"
"12231","千葉県","印西市","千葉県印西市"
"12232","千葉県","白井市","千葉県白井市"
"12233","千葉県","富里市","千葉県富里市"
"12234","千葉県","南房総市","千葉県南房総市"
"12235","千葉県","匝瑳市","千葉県匝瑳市"
"12236","千葉県","香取市","千葉県香取市"
"12237","千葉県","山武市","千葉県山武市"
"12238","千葉県","いすみ市","千葉県いすみ市"
"12239","千葉県","大網白里市","千葉県大網白里市"
"13100","東京都","特別区部","東京都特別区部"
"13201","東京都","八王子市","東京都八王子市"
"13202","東京都","立川市","東京都立川市"
"13203","東京都","武蔵野市","東京都武蔵野市"
"13204","東京都","三鷹市","東京都三鷹市"
"13205","東京都","青梅市","東京都青梅市"
"13206","東京都","府中市","東京都府中市"
"13207","東京都","昭島市","東京都昭島市"
"13208","東京都","調布市","東京都調布市"
"13209","東京都","町田市","東京都町田市"
"13210","東京都","小金井市","東京都小金井市"
"13211","東京都","小平市","東京都小平市"
"13212","東京都","日野市","東京都日野市"
"13213","東京都","東村山市","東京都東村山市"
"13214","東京都","国分寺市","東京都国分寺市"
"13215","東京都","国立市","東京都国立市"
"13218","東京都","福生市","東京都福生市"
"13219","東京都","狛江市","東京都狛江市"
"13220","東京都","東大和市","東京都東大和市"
"13221","東京都","清瀬市","東京都清瀬市"
"13222","東京都","東久留米市","東京都東久留米市"
"13223","東京都","武蔵村山市","東京都武蔵村山市"
"13224","東京都","多摩市","東京都多摩市"
"13225","東京都","稲城市","東京都稲城市"
"13227","東京都","羽村市","東京都羽村市"
"13228","東京都","あきる野市","東京都あきる野市"
"13229","東京都","西東京市","東京都西東京市"
"14100","神奈川県","横浜市","神奈川県横浜市"
"14130","神奈川県","川崎市","神奈川県川崎市"
"14150","神奈川県","相模原市","神奈川県相模原市"
"14201","神奈川県","横須賀市","神奈川県横須賀市"
"14203","神奈川県","平塚市","神奈川県平塚市"
"14204","神奈川県","鎌倉市","神奈川県鎌倉市"
"14205","神奈川県","藤沢市","神奈川県藤沢市"
"14206","神奈川県","小田原市","神奈川県小田原市"
"14207","神奈川県","茅ヶ崎市","神奈川県茅ヶ崎市"
"14208","神奈川県","逗子市","神奈川県逗子市"
"14210","神奈川県","三浦市","神奈川県三浦市"
"14211","神奈川県","秦野市","神奈川県秦野市"
"14212","神奈川県","厚木市","神奈川県厚木市"
"14213","神奈川県","大和市","神奈川県大和市"
"14214","神奈川県","伊勢原市","神奈川県伊勢原市"
"14215","神奈川県","海老名市","神奈川県海老名市"
"14216","神奈川県","座間市","神奈川県座間市"
"14217","神奈川県","南足柄市","神奈川県南足柄市"
"14218","神奈川県","綾瀬市","神奈川県綾瀬市"
"15100","新潟県","新潟市","新潟県新潟市"
"15202","新潟県","長岡市","新潟県長岡市"
"15204","新潟県","三条市","新潟県三条市"
"15205","新潟県","柏崎市","新潟県柏崎市"
"15206","新潟県","新発田市","新潟県新発田市"
"15208","新潟県","小千谷市","新潟県小千谷市"
"15209","新潟県","加茂市","新潟県加茂市"
"15210","新潟県","十日町市","新潟県十日町市"
"15211","新潟県","見附市","新潟県見附市"
"15212","新潟県","村上市","新潟県村上市"
"15213","新潟県","燕市","新潟県燕市"
"15216","新潟県","糸魚川市","新潟県糸魚川市"
"15217","新潟県","妙高市","新潟県妙高市"
"15218","新潟県","五泉市","新潟県五泉市"
"15222","新潟県","上越市","新潟県上越市"
"15223","新潟県","阿賀野市","新潟県阿賀野市"
"15224","新潟県","佐渡市","新潟県佐渡市"
"15225","新潟県","魚沼市","新潟県魚沼市"
"15226","新潟県","南魚沼市","新潟県南魚沼市"
"15227","新潟県","胎内市","新潟県胎内市"
"16201","富山県","富山市","富山県富山市"
"16202","富山県","高岡市","富山県高岡市"
"16204","富山県","魚津市","富山県魚津市"
"16205","富山県","氷見市","富山県氷見市"
"16206","富山県","滑川市","富山県滑川市"
"16207","富山県","黒部市","富山県黒部市"
"16208","富山県","砺波市","富山県砺波市"
"16209","富山県","小矢部市","富山県小矢部市"
"16210","富山県","南砺市","富山県南砺市"
"16211","富山県","射水市","富山県射水市"
"17201","石川県","金沢市","石川県金沢市"
"17202","石川県","七尾市","石川県七尾市"
"17203","石川県","小松市","石川県小松市"
"17204","石川県","輪島市","石川県輪島市"
"17205","石川県","珠洲市","石川県珠洲市"
"17206","石川県","加賀市","石川県加賀市"
"17207","石川県","羽咋市","石川県羽咋市"
"17209","石川県","かほく市","石川県かほく市"
"17210","石川県","白山市","石川県白山市"
"17211","石川県","能美市","石川県能美市"
"17212","石川県","野々市市","石川県野々市市"
"18201","福井県","福井市","福井県福井市"
"18202","福井県","敦賀市","福井県敦賀市"
"18204","福井県","小浜市","福井県小浜市"
"18205","福井県","大野市","福井県大野市"
"18206","福井県","勝山市","福井県勝山市"
"18207","福井県","鯖江市","福井県鯖江市"
"18208","福井県","あわら市","福井県あわら市"
"18209","福井県","越前市","福井県越前市"
"18210","福井県","坂井市","福井県坂井市"
"19201","山梨県","甲府市","山梨県甲府市"
"19202","山梨県","富士吉田市","山梨県富士吉田市"
"19204","山梨県","都留市","山梨県都留市"
"19205","山梨県","山梨市","山梨県山梨市"
"19206","山梨県","大月市","山梨県大月市"
"19207","山梨県","韮崎市","山梨県韮崎市"
"19208","山梨県","南アルプス市","山梨県南アルプス市"
"19209","山梨県","北杜市","山梨県北杜市"
"19210","山梨県","甲斐市","山梨県甲斐市"
"19211","山梨県","笛吹市","山梨県笛吹市"
"19212","山梨県","上野原市","山梨県上野原市"
"19213","山梨県","甲州市","山梨県甲州市"
"19214","山梨県","中央市","山梨県中央市"
"20201","長野県","長野市","長野県長野市"
"20202","長野県","松本市","長野県松本市"
"20203","長野県","上田市","長野県上田市"
"20204","長野県","岡谷市","長野県岡谷市"
"20205","長野県","飯田市","長野県飯田市"
"20206","長野県","諏訪市","長野県諏訪市"
"20207","長野県","須坂市","長野県須坂市"
"20208","長野県","小諸市","長野県小諸市"
"20209","長野県","伊那市","長野県伊那市"
"20210","長野県","駒ヶ根市","長野県駒ヶ根市"
"20211","長野県","中野市","長野県中野市"
"20212","長野県","大町市","長野県大町市"
"20213","長野県","飯山市","長野県飯山市"
"20214","長野県","茅野市","長野県茅野市"
"20215","長野県","塩尻市","長野県塩尻市"
"20217","長野県","佐久市","長野県佐久市"
"20218","長野県","千曲市","長野県千曲市"
"20219","長野県","東御市","長野県東御市"
"20220","長野県","安曇野市","長野県安曇野市"
"21201","岐阜県","岐阜市","岐阜県岐阜市"
"21202","岐阜県","大垣市","岐阜県大垣市"
"21203","岐阜県","高山市","岐阜県高山市"
"21204","岐阜県","多治見市","岐阜県多治見市"
"21205","岐阜県","関市","岐阜県関市"
"21206","岐阜県","中津川市","岐阜県中津川市"
"21207","岐阜県","美濃市","岐阜県美濃市"
"21208","岐阜県","瑞浪市","岐阜県瑞浪市"
"21209","岐阜県","羽島市","岐阜県羽島市"
"21210","岐阜県","恵那市","岐阜県恵那市"
"21211","岐阜県","美濃加茂市","岐阜県美濃加茂市"
"21212","岐阜県","土岐市","岐阜県土岐市"
"21213","岐阜県","各務原市","岐阜県各務原市"
"21214","岐阜県","可児市","岐阜県可児市"
"21215","岐阜県","山県市","岐阜県山県市"
"21216","岐阜県","瑞穂市","岐阜県瑞穂市"
"21217","岐阜県","飛騨市","岐阜県飛騨市"
"21218","岐阜県","本巣市","岐阜県本巣市"
"21219","岐阜県","郡上市","岐阜県郡上市"
"21220","岐阜県","下呂市","岐阜県下呂市"
"21221","岐阜県","海津市","岐阜県海津市"
"22100","静岡県","静岡市","静岡県静岡市"
"22130","静岡県","浜松市","静岡県浜松市"
"22203","静岡県","沼津市","静岡県沼津市"
"22205","静岡県","熱海市","静岡県熱海市"
"22206","静岡県","三島市","静岡県三島市"
"22207","静岡県","富士宮市","静岡県富士宮市"
"22208","静岡県","伊東市","静岡県伊東市"
"22209","静岡県","島田市","静岡県島田市"
"22210","静岡県","富士市","静岡県富士市"
"22211","静岡県","磐田市","静岡県磐田市"
"22212","静岡県","焼津市","静岡県焼津市"
"22213","静岡県","掛川市","静岡県掛川市"
"22214","静岡県","藤枝市","静岡県藤枝市"
"22215","静岡県","御殿場市","静岡県御殿場市"
"22216","静岡県","袋井市","静岡県袋井市"
"22219","静岡県","下田市","静岡県下田市"
"22220","静岡県","裾野市","静岡県裾野市"
"22221","静岡県","湖西市","静岡県湖西市"
"22222","静岡県","伊豆市","静岡県伊豆市"
"22223","静岡県","御前崎市","静岡県御前崎市"
"22224","静岡県","菊川市","静岡県菊川市"
"22225","静岡県","伊豆の国市","静岡県伊豆の国市"
"22226","静岡県","牧之原市","静岡県牧之原市"
"23100","愛知県","名古屋市","愛知県名古屋市"
"23201","愛知県","豊橋市","愛知県豊橋市"
"23202","愛知県","岡崎市","愛知県岡崎市"
"23203","愛知県","一宮市","愛知県一宮市"
"23204","愛知県","瀬戸市","愛知県瀬戸市"
"23205","愛知県","半田市","愛知県半田市"
"23206","愛知県","春日井市","愛知県春日井市"
"23207","愛知県","豊川市","愛知県豊川市"
"23208","愛知県","津島市","愛知県津島市"
"23209","愛知県","碧南市","愛知県碧南市"
"23210","愛知県","刈谷市","愛知県刈谷市"
"23211","愛知県","豊田市","愛知県豊田市"
"23212","愛知県","安城市","愛知県安城市"
"23213","愛知県","西尾市","愛知県西尾市"
"23214","愛知県","蒲郡市","愛知県蒲郡市"
"23215","愛知県","犬山市","愛知県犬山市"
"23216","愛知県","常滑市","愛知県常滑市"
"23217","愛知県","江南市","愛知県江南市"
"23219","愛知県","小牧市","愛知県小牧市"
"23220","愛知県","稲沢市","愛知県稲沢市"
"23221","愛知県","新城市","愛知県新城市"
"23222","愛知県","東海市","愛知県東海市"
"23223","愛知県","大府市","愛知県大府市"
"23224","愛知県","知多市","愛知県知多市"
"23225","愛知県","知立市","愛知県知立市"
"23226","愛知県","尾張旭市","愛知県尾張旭市"
"23227","愛知県","高浜市","愛知県高浜市"
"23228","愛知県","岩倉市","愛知県岩倉市"
"23229","愛知県","豊明市","愛知県豊明市"
"23230","愛知県","日進市","愛知県日進市"
"23231","愛知県","田原市","愛知県田原市"
"23232","愛知県","愛西市","愛知県愛西市"
"23233","愛知県","清須市","愛知県清須市"
"23234","愛知県","北名古屋市","愛知県北名古屋市"
"23235","愛知県","弥富市","愛知県弥富市"
"23236","愛知県","みよし市","愛知県みよし市"
"23237","愛知県","あま市","愛知県あま市"
"23238","愛知県","長久手市","愛知県長久手市"
"24201","三重県","津市","三重県津市"
"24202","三重県","四日市市","三重県四日市市"
"24203","三重県","伊勢市","三重県伊勢市"
"24204","三重県","松阪市","三重県松阪市"
"24205","三重県","桑名市","三重県桑名市"
"24207","三重県","鈴鹿市","三重県鈴鹿市"
"24208","三重県","名張市","三重県名張市"
"24209","三重県","尾鷲市","三重県尾鷲市"
"24210","三重県","亀山市","三重県亀山市"
"24211","三重県","鳥羽市","三重県鳥羽市"
"24212","三重県","熊野市","三重県熊野市"
"24214","三重県","いなべ市","三重県いなべ市"
"24215","三重県","志摩市","三重県志摩市"
"24216","三重県","伊賀市","三重県伊賀市"
"25201","滋賀県","大津市","滋賀県大津市"
"25202","滋賀県","彦根市","滋賀県彦根市"
"25203","滋賀県","長浜市","滋賀県長浜市"
"25204","滋賀県","近江八幡市","滋賀県近江八幡市"
"25206","滋賀県","草津市","滋賀県草津市"
"25207","滋賀県","守山市","滋賀県守山市"
"25208","滋賀県","栗東市","滋賀県栗東市"
"25209","滋賀県","甲賀市","滋賀県甲賀市"
"25210","滋賀県","野洲市","滋賀県野洲市"
"25211","滋賀県","湖南市","滋賀県湖南市"
"25212","滋賀県","高島市","滋賀県高島市"
"25213","滋賀県","東近江市","滋賀県東近江市"
"25214","滋賀県","米原市","滋賀県米原市"
"26100","京都府","京都市","京都府京都市"
"26201","京都府","福知山市","京都府福知山市"
"26202","京都府","舞鶴市","京都府舞鶴市"
"26203","京都府","綾部市","京都府綾部市"
"26204","京都府","宇治市","京都府宇治市"
"26205","京都府","宮津市","京都府宮津市"
"26206","京都府","亀岡市","京都府亀岡市"
"26207","京都府","城陽市","京都府城陽市"
"26208","京都府","向日市","京都府向日市"
"26209","京都府","長岡京市","京都府長岡京市"
"26210","京都府","八幡市","京都府八幡市"
"26211","京都府","京田辺市","京都府京田辺市"
"26212","京都府","京丹後市","京都府京丹後市"
"26213","京都府","南丹市","京都府南丹市"
"26214","京都府","木津川市","京都府木津川市"
"27100","大阪府","大阪市","大阪府大阪市"
"27140","大阪府","堺市","大阪府堺市"
"27202","大阪府","岸和田市","大阪府岸和田市"
"27203","大阪府","豊中市","大阪府豊中市"
"27204","大阪府","池田市","大阪府池田市"
"27205","大阪府","吹田市","大阪府吹田市"
"27206","大阪府","泉大津市","大阪府泉大津市"
"27207","大阪府","高槻市","大阪府高槻市"
"27208","大阪府","貝塚市","大阪府貝塚市"
"27209","大阪府","守口市","大阪府守口市"
"27210","大阪府","枚方市","大阪府枚方市"
"27211","大阪府","茨木市","大阪府茨木市"
"27212","大阪府","八尾市","大阪府八尾市"
"27213","大阪府","泉佐野市","大阪府泉佐野市"
"27214","大阪府","富田林市","大阪府富田林市"
"27215","大阪府","寝屋川市","大阪府寝屋川市"
"27216","大阪府","河内長野市","大阪府河内長野市"
"27217","大阪府","松原市","大阪府松原市"
"27218","大阪府","大東市","大阪府大東市"
"27219","大阪府","和泉市","大阪府和泉市"
"27220","大阪府","箕面市","大阪府箕面市"
"27221","大阪府","柏原市","大阪府柏原市"
"27222","大阪府","羽曳野市","大阪府羽曳野市"
"27223","大阪府","門真市","大阪府門真市"
"27224","大阪府","摂津市","大阪府摂津市"
"27225","大阪府","高石市","大阪府高石市"
"27226","大阪府","藤井寺市","大阪府藤井寺市"
"27227","大阪府","東大阪市","大阪府東大阪市"
"27228","大阪府","泉南市","大阪府泉南市"
"27229","大阪府","四條畷市","大阪府四條畷市"
"27230","大阪府","交野市","大阪府交野市"
"27231","大阪府","大阪狭山市","大阪府大阪狭山市"
"27232","大阪府","阪南市","大阪府阪南市"
"28100","兵庫県","神戸市","兵庫県神戸市"
"28201","兵庫県","姫路市","兵庫県姫路市"
"28202","兵庫県","尼崎市","兵庫県尼崎市"
"28203","兵庫県","明石市","兵庫県明石市"
"28204","兵庫県","西宮市","兵庫県西宮市"
"28205","兵庫県","洲本市","兵庫県洲本市"
"28206","兵庫県","芦屋市","兵庫県芦屋市"
"28207","兵庫県","伊丹市","兵庫県伊丹市"
"28208","兵庫県","相生市","兵庫県相生市"
"28209","兵庫県","豊岡市","兵庫県豊岡市"
"28210","兵庫県","加古川市","兵庫県加古川市"
"28212","兵庫県","赤穂市","兵庫県赤穂市"
"28213","兵庫県","西脇市","兵庫県西脇市"
"28214","兵庫県","宝塚市","兵庫県宝塚市"
"28215","兵庫県","三木市","兵庫県三木市"
"28216","兵庫県","高砂市","兵庫県高砂市"
"28217","兵庫県","川西市","兵庫県川西市"
"28218","兵庫県","小野市","兵庫県小野市"
"28219","兵庫県","三田市","兵庫県三田市"
"28220","兵庫県","加西市","兵庫県加西市"
"28221","兵庫県","丹波篠山市","兵庫県丹波篠山市"
"28222","兵庫県","養父市","兵庫県養父市"
"28223","兵庫県","丹波市","兵庫県丹波市"
"28224","兵庫県","南あわじ市","兵庫県南あわじ市"
"28225","兵庫県","朝来市","兵庫県朝来市"
"28226","兵庫県","淡路市","兵庫県淡路市"
"28227","兵庫県","宍粟市","兵庫県宍粟市"
"28228","兵庫県","加東市","兵庫県加東市"
"28229","兵庫県","たつの市","兵庫県たつの市"
"29201","奈良県","奈良市","奈良県奈良市"
"29202","奈良県","大和高田市","奈良県大和高田市"
"29203","奈良県","大和郡山市","奈良県大和郡山市"
"29204","奈良県","天理市","奈良県天理市"
"29205","奈良県","橿原市","奈良県橿原市"
"29206","奈良県","桜井市","奈良県桜井市"
"29207","奈良県","五條市","奈良県五條市"
"29208","奈良県","御所市","奈良県御所市"
"29209","奈良県","生駒市","奈良県生駒市"
"29210","奈良県","香芝市","奈良県香芝市"
"29211","奈良県","葛城市","奈良県葛城市"
"29212","奈良県","宇陀市","奈良県宇陀市"
"30201","和歌山県","和歌山市","和歌山県和歌山市"
"30202","和歌山県","海南市","和歌山県海南市"
"30203","和歌山県","橋本市","和歌山県橋本市"
"30204","和歌山県","有田市","和歌山県有田市"
