"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"23221","愛知県","","","新城市","しんしろし","2005-10-01","有"
"23222","愛知県","","","東海市","とうかいし","2022-04-01","有"
"23223","愛知県","","","大府市","おおぶし","2022-04-01","有"
"23224","愛知県","","","知多市","ちたし","2000-12-01","有"
"23225","愛知県","","","知立市","ちりゅうし","2004-05-01","有"
"23226","愛知県","","","尾張旭市","おわりあさひし","2017-04-01","有"
"23227","愛知県","","","高浜市","たかはまし","1991-01-02","有"
"23228","愛知県","","","岩倉市","いわくらし","1998-10-01","有"
"23229","愛知県","","","豊明市","とよあけし","2007-04-01","有"
"23230","愛知県","","","日進市","にっしんし","1995-09-01","有"
"23231","愛知県","","","田原市","たはらし","2005-10-01","有"
"23232","愛知県","","","愛西市","あいさいし","2005-09-01","有"
"23233","愛知県","","","清須市","きよすし","2011-04-01","有"
"23234","愛知県","","","北名古屋市","きたなごやし","2006-03-20","有"
"23235","愛知県","","","弥富市","やとみし","2006-04-01","有"
"23236","愛知県","","","みよし市","みよしし","2010-01-04","有"
"23237","愛知県","","","あま市","あまし","2010-03-22","有"
"23238","愛知県","","","長久手市","ながくてし","2012-01-04","有"
"24201","三重県","","","津市","つし","2006-01-01","有"
"24202","三重県","","","四日市市","よっかいちし","2005-02-07","有"
"24203","三重県","","","伊勢市","いせし","2006-04-01","有"
"24204","三重県","","","松阪市","まつさかし","2005-01-01","有"
"24205","三重県","","","桑名市","くわなし","2004-12-06","有"
"24207","三重県","","","鈴鹿市","すずかし","1998-10-01","有"
"24208","三重県","","","名張市","なばりし","",""
"24209","三重県","","","尾鷲市","おわせし","",""
"24210","三重県","","","亀山市","かめやまし","2005-01-11","有"
"24211","三重県","","","鳥羽市","とばし","",""
"24212","三重県","","","熊野市","くまのし","2005-11-01","有"
"24214","三重県","","","いなべ市","いなべし","2003-12-01","有"
"24215","三重県","","","志摩市","しまし","2004-10-01","有"
"24216","三重県","","","伊賀市","いがし","2004-11-01","有"
"25201","滋賀県","","","大津市","おおつし","2009-04-01","有"
"25202","滋賀県","","","彦根市","ひこねし","2011-01-07","有"
"25203","滋賀県","","","長浜市","ながはまし","2010-01-01","有"
"25204","滋賀県","","","近江八幡市","おうみはちまんし","2010-03-21","有"
"25206","滋賀県","","","草津市","くさつし","2007-09-28","有"
"25207","滋賀県","","","守山市","もりやまし","2010-07-30","有"
"25208","滋賀県","","","栗東市","りっとうし","2001-10-01","有"
"25209","滋賀県","","","甲賀市","こうかし","2004-10-01","有"
"25210","滋賀県","","","野洲市","やすし","2010-07-30","有"
"25211","滋賀県","","","湖南市","こなんし","2004-10-01","有"
"25212","滋賀県","","","高島市","たかしまし","2007-09-28","有"
"25213","滋賀県","","","東近江市","ひがしおうみし","2007-09-28","有"
"25214","滋賀県","","","米原市","まいばらし","2007-09-28","有"
"26100","京都府","京都市","きょうとし","","","2004-12-20","有"
"26201","京都府","","","福知山市","ふくちやまし","2006-01-01","有"
"26202","京都府","","","舞鶴市","まいづるし","",""
"26203","京都府","","","綾部市","あやべし","1998-03-12","有"
"26204","京都府","","","宇治市","うじし","2004-12-20","有"
"26205","京都府","","","宮津市","みやづし","2025-04-01","有"
"26206","京都府","","","亀岡市","かめおかし","1988-09-01","有"
"26207","京都府","","","城陽市","じょうようし","1972-05-03","有"
"26208","京都府","","","向日市","むこうし","1972-10-01","有"
"26209","京都府","","","長岡京市","ながおかきょうし","1972-10-01","有"
"26210","京都府","","","八幡市","やわたし","1979-02-01","有"
"26211","京都府","","","京田辺市","きょうたなべし","1997-04-01","有"
"26212","京都府","","","京丹後市","きょうたんごし","2004-04-01","有"
"26213","京都府","","","南丹市","なんたんし","2006-01-01","有"
"26214","京都府","","","木津川市","きづがわし","2007-03-12","有"
"27100","大阪府","大阪市","おおさかし","","","1986-05-01","有"
"27140","大阪府","堺市","さかいし","","","2006-04-01","有"
"27202","大阪府","","","岸和田市","きしわだし","2007-08-01","有"
"27203","大阪府","","","豊中市","とよなかし","2012-04-01","有"
"27204","大阪府","","","池田市","いけだし","",""
"27205","大阪府","","","吹田市","すいたし","2020-04-01","有"
"27206","大阪府","","","泉大津市","いずみおおつし","1982-05-01","有"
"27207","大阪府","","","高槻市","たかつきし","2003-04-01","有"
"27208","大阪府","","","貝塚市","かいづかし","2013-07-01","有"
"27209","大阪府","","","守口市","もりぐちし","",""
"27210","大阪府","","","枚方市","ひらかたし","2014-04-01","有"
"27211","大阪府","","","茨木市","いばらきし","2001-04-01","有"
"27212","大阪府","","","八尾市","やおし","2018-04-01","有"
"27213","大阪府","","","泉佐野市","いずみさのし","2002-03-01","有"
"27214","大阪府","","","富田林市","とんだばやしし","2022-12-27","有"
"27215","大阪府","","","寝屋川市","ねやがわし","2019-04-01","有"
"27216","大阪府","","","河内長野市","かわちながのし","",""
"27217","大阪府","","","松原市","まつばらし","1980-02-01","有"
"27218","大阪府","","","大東市","だいとうし","1979-05-01","有"
"27219","大阪府","","","和泉市","いずみし","1989-05-01","有"
"27220","大阪府","","","箕面市","みのおし","1999-02-01","有"
"27221","大阪府","","","柏原市","かしわらし","",""
"27222","大阪府","","","羽曳野市","はびきのし","",""
"27223","大阪府","","","門真市","かどまし","",""
"27224","大阪府","","","摂津市","せっつし","1980-12-01","有"
"27225","大阪府","","","高石市","たかいしし","1983-05-01","有"
"27226","大阪府","","","藤井寺市","ふじいでらし","",""
"27227","大阪府","","","東大阪市","ひがしおおさかし","2005-04-01","有"
"27228","大阪府","","","泉南市","せんなんし","2002-03-01","有"
"27229","大阪府","","","四條畷市","しじょうなわてし","1970-07-01","有"
"27230","大阪府","","","交野市","かたのし","1971-11-03","有"
"27231","大阪府","","","大阪狭山市","おおさかさやまし","2022-12-27","有"
"27232","大阪府","","","阪南市","はんなんし","2002-02-01","有"
"28100","兵庫県","神戸市","こうべし","","","1992-06-01","有"
"28201","兵庫県","","","姫路市","ひめじし","2006-03-27","有"
"28202","兵庫県","","","尼崎市","あまがさきし","2009-04-01","有"
"28203","兵庫県","","","明石市","あかしし","2018-04-01","有"
"28204","兵庫県","","","西宮市","にしのみやし","2008-04-01","有"
"28205","兵庫県","","","洲本市","すもとし","2006-02-11","有"
"28206","兵庫県","","","芦屋市","あしやし","1974-12-01","有"
"28207","兵庫県","","","伊丹市","いたみし","",""
"28208","兵庫県","","","相生市","あいおいし","",""
"28209","兵庫県","","","豊岡市","とよおかし","2005-04-01","有"
"28210","兵庫県","","","加古川市","かこがわし","2002-04-01","有"
"28212","兵庫県","","","赤穂市","あこうし","",""
"28213","兵庫県","","","西脇市","にしわきし","2005-10-01","有"
"28214","兵庫県","","","宝塚市","たからづかし","2003-04-01","有"
"28215","兵庫県","","","三木市","みきし","2005-10-24","有"
"28216","兵庫県","","","高砂市","たかさごし","1981-03-01","有"
"28217","兵庫県","","","川西市","かわにしし","1977-03-01","有"
"28218","兵庫県","","","小野市","おのし","1985-09-01","有"
"28219","兵庫県","","","三田市","さんだし","1981-08-01","有"
"28220","兵庫県","","","加西市","かさいし","1994-12-01","有"
"28221","兵庫県","","","丹波篠山市","たんばささやまし","2019-05-01","有"
"28222","兵庫県","","","養父市","やぶし","2004-04-01","有"
"28223","兵庫県","","","丹波市","たんばし","2004-11-01","有"
"28224","兵庫県","","","南あわじ市","みなみあわじし","2005-01-11","有"
"28225","兵庫県","","","朝来市","あさごし","2005-04-01","有"
"28226","兵庫県","","","淡路市","あわじし","2005-04-01","有"
"28227","兵庫県","","","宍粟市","しそうし","2005-04-01","有"
"28228","兵庫県","","","加東市","かとうし","2006-03-20","有"
"28229","兵庫県","","","たつの市","たつのし","2005-10-01","有"
"29201","奈良県","","","奈良市","ならし","2005-04-01","有"
"29202","奈良県","","","大和高田市","やまとたかだし","",""
"29203","奈良県","","","大和郡山市","やまとこおりやまし","",""
"29204","奈良県","","","天理市","てんりし","",""
"29205","奈良県","","","橿原市","かしはらし","",""
"29206","奈良県","","","桜井市","さくらいし","",""
"29207","奈良県","","","五條市","ごじょうし","2005-09-25","有"
"29208","奈良県","","","御所市","ごせし","1977-04-01","有"
"29209","奈良県","","","生駒市","いこまし","1971-11-01","有"
"29210","奈良県","","","香芝市","かしばし","1991-10-01","有"
"29211","奈良県","","","葛城市","かつらぎし","2004-10-01","有"
"29212","奈良県","","","宇陀市","うだし","2006-01-01","有"
"30201","和歌山県","","","和歌山市","わかやまし","1997-04-01","有"
"30202","和歌山県","","","海南市","かいなんし","2005-04-01","有"
"30203","和歌山県","","","橋本市","はしもとし","2006-03-01","有"
"30204","和歌山県","","","有田市","ありだし","",""
"30205","和歌山県","","","御坊市","ごぼうし","1978-11-01","有"
"30206","和歌山県","","","田辺市","たなべし","2005-05-01","有"
"30207","和歌山県","","","新宮市","しんぐうし","2005-10-01","有"
"30208","和歌山県","","","紀の川市","きのかわし","2005-11-07","有"
"30209","和歌山県","","","岩出市","いわでし","2006-04-01","有"
"31201","鳥取県","","","鳥取市","とっとりし","2018-04-01","有"
"31202","鳥取県","","","米子市","よなごし","2005-03-31","有"
"31203","鳥取県","","","倉吉市","くらよしし","2005-03-22","有"
"31204","鳥取県","","","境港市","さかいみなとし","1992-05-25","有"
"32201","島根県","","","松江市","まつえし","2018-04-01","有"
"32202","島根県","","","浜田市","はまだし","2005-10-01","有"
"32203","島根県","","","出雲市","いずもし","2011-10-01","有"
"32204","島根県","","","益田市","ますだし","2004-11-01","有"
"32205","島根県","","","大田市","おおだし","2005-10-01","有"
"32206","島根県","","","安来市","やすぎし","2004-10-01","有"
"32207","島根県","","","江津市","ごうつし","2004-10-01","有"
"32209","島根県","","","雲南市","うんなんし","2004-11-01","有"
"33100","岡山県","岡山市","おかやまし","","","2009-04-01","有"
"33202","岡山県","","","倉敷市","くらしきし","2005-08-01","有"
"33203","岡山県","","","津山市","つやまし","2005-02-28","有"
"33204","岡山県","","","玉野市","たまのし","1974-03-20","有"
"33205","岡山県","","","笠岡市","かさおかし","",""
"33207","岡山県","","","井原市","いばらし","2005-03-01","有"
"33208","岡山県","","","総社市","そうじゃし","2005-03-22","有"
"33209","岡山県","","","高梁市","たかはしし","2004-10-01","有"
"33210","岡山県","","","新見市","にいみし","2005-03-31","有"
"33211","岡山県","","","備前市","びぜんし","2005-03-22","有"
"33212","岡山県","","","瀬戸内市","せとうちし","2004-11-01","有"
"33213","岡山県","","","赤磐市","あかいわし","2005-03-07","有"
"33214","岡山県","","","真庭市","まにわし","2005-03-31","有"
"33215","岡山県","","","美作市","みまさかし","2005-03-31","有"
"33216","岡山県","","","浅口市","あさくちし","2006-03-21","有"
"34100","広島県","広島市","ひろしまし","","","1994-10-24","有"
"34202","広島県","","","呉市","くれし","2016-04-01","有"
"34203","広島県","","","竹原市","たけはらし","",""
"34204","広島県","","","三原市","みはらし","2005-03-22","有"
"34205","広島県","","","尾道市","おのみちし","2006-01-10","有"
"34207","広島県","","","福山市","ふくやまし","2006-03-01","有"
"34208","広島県","","","府中市","ふちゅうし","2004-04-01","有"
"34209","広島県","","","三次市","みよしし","2004-04-01","有"
"34210","広島県","","","庄原市","しょうばらし","2005-03-31","有"
"34211","広島県","","","大竹市","おおたけし","1983-06-01","有"
"34212","広島県","","","東広島市","ひがしひろしまし","2005-02-07","有"
"34213","広島県","","","廿日市市","はつかいちし","2005-11-03","有"
"34214","広島県","","","安芸高田市","あきたかたし","2004-03-01","有"
"34215","広島県","","","江田島市","えたじまし","2004-11-01","有"
"35201","山口県","","","下関市","しものせきし","2005-10-01","有"
"35202","山口県","","","宇部市","うべし","2004-11-01","有"
"35203","山口県","","","山口市","やまぐちし","2010-01-16","有"
"35204","山口県","","","萩市","はぎし","2005-03-06","有"
"35206","山口県","","","防府市","ほうふし","",""
"35207","山口県","","","下松市","くだまつし","",""
"35208","山口県","","","岩国市","いわくにし","2006-03-20","有"
"35210","山口県","","","光市","ひかりし","2004-10-04","有"
"35211","山口県","","","長門市","ながとし","2005-03-22","有"
"35212","山口県","","","柳井市","やないし","2005-02-21","有"
"35213","山口県","","","美祢市","みねし","2008-03-21","有"
"35215","山口県","","","周南市","しゅうなんし","2003-04-21","有"
"35216","山口県","","","山陽小野田市","さんようおのだし","2005-03-22","有"
"36201","徳島県","","","徳島市","とくしまし","1983-02-28","有"
"36202","徳島県","","","鳴門市","なるとし","",""
"36203","徳島県","","","小松島市","こまつしまし","1996-11-26","有"
"36204","徳島県","","","阿南市","あなんし","2006-03-20","有"
"36205","徳島県","","","吉野川市","よしのがわし","2004-10-01","有"
"36206","徳島県","","","阿波市","あわし","2005-04-01","有"
"36207","徳島県","","","美馬市","みまし","2005-03-01","有"
"36208","徳島県","","","三好市","みよしし","2006-03-01","有"
"37201","香川県","","","高松市","たかまつし","2006-01-10","有"
"37202","香川県","","","丸亀市","まるがめし","2005-03-22","有"
"37203","香川県","","","坂出市","さかいでし","",""
"37204","香川県","","","善通寺市","ぜんつうじし","",""
"37205","香川県","","","観音寺市","かんおんじし","2005-10-11","有"
"37206","香川県","","","さぬき市","さぬきし","2002-04-01","有"
"37207","香川県","","","東かがわ市","ひがしかがわし","2003-04-01","有"
"37208","香川県","","","三豊市","みとよし","2006-01-01","有"
"38201","愛媛県","","","松山市","まつやまし","2005-01-01","有"
"38202","愛媛県","","","今治市","いまばりし","2005-01-16","有"
"38203","愛媛県","","","宇和島市","うわじまし","2005-08-01","有"
"38204","愛媛県","","","八幡浜市","やわたはまし","2005-03-28","有"
"38205","愛媛県","","","新居浜市","にいはまし","2003-04-01","有"
"38206","愛媛県","","","西条市","さいじょうし","2004-11-01","有"
"38207","愛媛県","","","大洲市","おおずし","2005-01-11","有"
"38210","愛媛県","","","伊予市","いよし","2005-04-01","有"
"38213","愛媛県","","","四国中央市","しこくちゅうおうし","2004-04-01","有"
"38214","愛媛県","","","西予市","せいよし","2004-04-01","有"
"38215","愛媛県","","","東温市","とうおんし","2004-09-21","有"
"39201","高知県","","","高知市","こうちし","2008-01-01","有"
"39202","高知県","","","室戸市","むろとし","1988-09-24","有"
"39203","高知県","","","安芸市","あきし","2002-05-21","有"
"39204","高知県","","","南国市","なんこくし","2010-04-01","有"
"39205","高知県","","","土佐市","とさし","",""
"39206","高知県","","","須崎市","すさきし","",""
"39208","高知県","","","宿毛市","すくもし","1976-01-01","有"
"39209","高知県","","","土佐清水市","とさしみずし","",""
"39210","高知県","","","四万十市","しまんとし","2005-04-10","有"
"39211","高知県","","","香南市","こうなんし","2006-03-01","有"
"39212","高知県","","","香美市","かみし","2010-04-01","有"
"40100","福岡県","北九州市","きたきゅうしゅうし","","","2008-10-01","有"
"40130","福岡県","福岡市","ふくおかし","","","1998-01-01","有"
"40202","福岡県","","","大牟田市","おおむたし","1999-07-16","有"
"40203","福岡県","","","久留米市","くるめし","2008-04-01","有"
"40204","福岡県","","","直方市","のおがたし","2013-10-01","有"
"40205","福岡県","","","飯塚市","いいづかし","2009-12-16","有"
"40206","福岡県","","","田川市","たがわし","1992-09-04","有"
"40207","福岡県","","","柳川市","やながわし","2005-03-21","有"
"40210","福岡県","","","八女市","やめし","2010-02-01","有"
"40211","福岡県","","","筑後市","ちくごし","2003-02-14","有"
"40212","福岡県","","","大川市","おおかわし","2000-03-10","有"
"40213","福岡県","","","行橋市","ゆくはしし","1997-06-24","有"
"40214","福岡県","","","豊前市","ぶぜんし","2014-02-12","有"
"40215","福岡県","","","中間市","なかまし","2004-08-23","有"
"40216","福岡県","","","小郡市","おごおりし","2003-02-14","有"
"40217","福岡県","","","筑紫野市","ちくしのし","1998-09-24","有"
"40218","福岡県","","","春日市","かすがし","2011-03-01","有"
"40219","福岡県","","","大野城市","おおのじょうし","2011-03-01","有"
"40220","福岡県","","","宗像市","むなかたし","2005-03-28","有"
"40221","福岡県","","","太宰府市","だざいふし","1982-04-01","有"
"40223","福岡県","","","古賀市","こがし","1997-10-01","有"
"40224","福岡県","","","福津市","ふくつし","2005-01-24","有"
"40225","福岡県","","","うきは市","うきはし","2005-03-20","有"
"40226","福岡県","","","宮若市","みやわかし","2013-10-01","有"
"40227","福岡県","","","嘉麻市","かまし","2006-03-27","有"
"40228","福岡県","","","朝倉市","あさくらし","2006-03-20","有"
"40229","福岡県","","","みやま市","みやまし","2007-01-29","有"
"40230","福岡県","","","糸島市","いとしまし","2010-01-01","有"
"40231","福岡県","","","那珂川市","なかがわし","2018-10-01","有"
"41201","佐賀県","","","佐賀市","さがし","2014-04-01","有"
"41202","佐賀県","","","唐津市","からつし","2006-01-01","有"
"41203","佐賀県","","","鳥栖市","とすし","2002-05-17","有"
"41204","佐賀県","","","多久市","たくし","2020-11-06","有"
"41205","佐賀県","","","伊万里市","いまりし","",""
"41206","佐賀県","","","武雄市","たけおし","2006-03-01","有"
"41207","佐賀県","","","鹿島市","かしまし","1988-06-01","有"
"41208","佐賀県","","","小城市","おぎし","2005-03-01","有"
"41209","佐賀県","","","嬉野市","うれしのし","2006-01-01","有"
"41210","佐賀県","","","神埼市","かんざきし","2006-03-20","有"
"42201","長崎県","","","長崎市","ながさきし","2006-01-04","有"
"42202","長崎県","","","佐世保市","させぼし","2016-04-01","有"
"42203","長崎県","","","島原市","しまばらし","2006-01-01","有"
"42204","長崎県","","","諫早市","いさはやし","2012-06-08","有"
"42205","長崎県","","","大村市","おおむらし","",""
"42207","長崎県","","","平戸市","ひらどし","2005-10-01","有"
"42208","長崎県","","","松浦市","まつうらし","2006-01-01","有"
"42209","長崎県","","","対馬市","つしまし","2004-03-01","有"
"42210","長崎県","","","壱岐市","いきし","2004-03-01","有"
"42211","長崎県","","","五島市","ごとうし","2004-08-01","有"
"42212","長崎県","","","西海市","さいかいし","2005-04-01","有"
"42213","長崎県","","","雲仙市","うんぜんし","2023-12-27","有"
"42214","長崎県","","","南島原市","みなみしまばらし","2023-12-27","有"
"43100","熊本県","熊本市","くまもとし","","","2014-09-01","有"
"43202","熊本県","","","八代市","やつしろし","2005-08-01","有"
"43203","熊本県","","","人吉市","ひとよしし","2005-03-01","有"
"43204","熊本県","","","荒尾市","あらおし","2000-09-01","有"
"43205","熊本県","","","水俣市","みなまたし","",""
"43206","熊本県","","","玉名市","たまなし","2005-10-03","有"
"43208","熊本県","","","山鹿市","やまがし","2005-01-15","有"
"43210","熊本県","","","菊池市","きくちし","2014-09-01","有"
"43211","熊本県","","","宇土市","うとし","1975-08-01","有"
"43212","熊本県","","","上天草市","かみあまくさし","2004-03-31","有"
"43213","熊本県","","","宇城市","うきし","2005-01-15","有"
"43214","熊本県","","","阿蘇市","あそし","2005-02-11","有"
"43215","熊本県","","","天草市","あまくさし","2006-03-27","有"
"43216","熊本県","","","合志市","こうしし","2006-02-27","有"
"44201","大分県","","","大分市","おおいたし","2005-01-01","有"
"44202","大分県","","","別府市","べっぷし","",""
"44203","大分県","","","中津市","なかつし","2012-01-25","有"
"44204","大分県","","","日田市","ひたし","2005-03-22","有"
"44205","大分県","","","佐伯市","さいきし","2005-03-03","有"
"44206","大分県","","","臼杵市","うすきし","2005-01-01","有"
"44207","大分県","","","津久見市","つくみし","",""
"44208","大分県","","","竹田市","たけたし","2020-03-18","有"
"44209","大分県","","","豊後高田市","ぶんごたかだし","2005-03-31","有"
"44210","大分県","","","杵築市","きつきし","2010-10-06","有"
"44211","大分県","","","宇佐市","うさし","2006-05-20","有"
"44212","大分県","","","豊後大野市","ぶんごおおのし","2020-03-18","有"
"44213","大分県","","","由布市","ゆふし","2005-10-01","有"
"44214","大分県","","","国東市","くにさきし","2006-03-31","有"
"45201","宮崎県","","","宮崎市","みやざきし","2010-03-23","有"
"45202","宮崎県","","","都城市","みやこのじょうし","2007-03-26","有"
"45203","宮崎県","","","延岡市","のべおかし","2007-03-31","有"
"45204","宮崎県","","","日南市","にちなんし","2009-03-30","有"
"45205","宮崎県","","","小林市","こばやしし","2011-01-07","有"
"45206","宮崎県","","","日向市","ひゅうがし","2006-02-25","有"
"45207","宮崎県","","","串間市","くしまし","",""
"45208","宮崎県","","","西都市","さいとし","2005-08-19","有"
"45209","宮崎県","","","えびの市","えびのし","2000-05-15","有"
"46201","鹿児島県","","","鹿児島市","かごしまし","2004-11-01","有"
"46203","鹿児島県","","","鹿屋市","かのやし","2008-12-20","有"
"46204","鹿児島県","","","枕崎市","まくらざきし","1991-11-19","有"
"46206","鹿児島県","","","阿久根市","あくねし","1980-09-01","有"
"46208","鹿児島県","","","出水市","いずみし","2006-03-13","有"
"46210","鹿児島県","","","指宿市","いぶすきし","2006-01-01","有"
"46213","鹿児島県","","","西之表市","にしのおもてし","1988-02-25","有"
"46214","鹿児島県","","","垂水市","たるみずし","",""
"46215","鹿児島県","","","薩摩川内市","さつませんだいし","2004-10-12","有"
"46216","鹿児島県","","","日置市","ひおきし","2005-05-01","有"
"46217","鹿児島県","","","曽於市","そおし","2018-10-05","有"
"46218","鹿児島県","","","霧島市","きりしまし","2018-10-05","有"
"46219","鹿児島県","","","いちき串木野市","いちきくしきのし","2005-10-11","有"
"46220","鹿児島県","","","南さつま市","みなみさつまし","2005-11-07","有"
"46221","鹿児島県","","","志布志市","しぶしし","2012-02-21","有"
"46222","鹿児島県","","","奄美市","あまみし","2009-10-19","有"
"46223","鹿児島県","","","南九州市","みなみきゅうしゅうし","2007-12-01","有"
"46224","鹿児島県","","","伊佐市","いさし","2008-11-01","有"
"46225","鹿児島県","","","姶良市","あいらし","2010-03-23","有"
"47201","沖縄県","","","那覇市","なはし","2017-03-09","有"
"47205","沖縄県","","","宜野湾市","ぎのわんし","1978-06-01","有"
"47207","沖縄県","","","石垣市","いしがきし","1972-05-15",""
"47208","沖縄県","","","浦添市","うらそえし","1978-06-01","有"
"47209","沖縄県","","","名護市","なごし","2023-06-30","有"
"47210","沖縄県","","","糸満市","いとまんし","2018-03-28","有"
"47211","沖縄県","","","沖縄市","おきなわし","1983-03-26","有"
"47212","沖縄県","","","豊見城市","とみぐすくし","2018-03-28","有"
"47213","沖縄県","","","うるま市","うるまし","2005-04-01","有"
"47214","沖縄県","","","宮古島市","みやこじまし","2005-10-01","有"
"47215","沖縄県","","","南城市","なんじょうし","2006-01-01","有"
